Interval Start (s),original_subtitles,automatic_subtitles
2310,"es el turismo del jubilado belga de 5.000 euros de pensión. Què és un turisme de qualitat? ¿Un visitant que gasta més o un que genera menys impacte en el territori, que genera menys residus sòlids o que genera menys cost d'aigua? ""El turisme de luxe té algun tipus de límit? O amb diners, torrons, com se sol dir?",Es el turismo del jubilado belga de 5.000 euros de pensión ¿Qué es un turismo de calidad? Un visitante que gasta más o un visitante que genera menos impacto en el territorio que genera menos residuos sòlids o que genera menos cost d'aigua el turismo el turismo deluxe té algún tipo de limit o amb diners torrons com se sol dir que genera a la gente que genera i que genera la gente de la gente que genera la gente que genera i que genera
2340,"Fer possible allò impossible és precisament l'especialitat d'esta agència de viatges exclusius. Però volem exemples. Què es pot aconseguir amb diners? Amb molts diners, millor dit."" Poder accedir a un temple que normalment no es visita, ser rebuts per la família reial quan normalment no reben ningú o veure un os polar en algun lloc. Nosaltres, amb els contactes que tenim, podem aconseguir complir els somnis d'aquesta persona.",i que genera la gente fer posible allò impossible és precisament l'especialitat d'esta agència de viatges exclusius però volem exemples ¿Qué es pot aconseguir amb diners? Amb molts diners millor dit Pues poder accedir a un temple que normalment no es visita al voltant ser rebuts per la família real quan normalment no reben a ningú o de veure un oso polar en un lloc o no sé què nosaltres amb els contactes que tenim podem aconseguir complir els somnis
2370,"podem aconseguir complir els somnis d'aquesta persona. ""Està clar que són experiències que no estan a l'abast de qualsevol. Eixa és precisament la gràcia d'este tipus de viatges?"" La gràcia està en anar una mica contra corrent i buscar llocs, és la meva missió, que estan més inexplorats. Jo soc una gran fan d'explorar i quan la Terra, diguéssim, se'm queda petita, miro cap amunt.",els somnis d'aquesta persona Està clar que són experiències que no estan a l'abast de qualsevol Eissa és precisament la gràcia d'este tipus de viatges La gràcia està una mica contracorrent i busca llocs que és la meva missió que estan més inexplorats Jo sóc una gran fan d'explorar i quan la terra diguéssim que se'm queda petita miro cap amunt No? Anna va adquirir
2400,"""Ana va adquirir un bitllet per a viatjar a l'espai amb la companyia de Richard Branson, Virgin Galactic, fa anys, però encara no ha pogut complir el seu somni."" Jo, sí o sí, amb uns o amb altres, d'una manera o una altra, jo viatjaré l'espai en un futur pròxim. ""De fet, per si esta opció no ix bé, Ana ja té un pla B."" Estem treballant amb Space Perspective.",Anna va adquirir un bitllet per a viatjar a l'espai amb la companyia de Richard Branson Virgin Galactic fa anys però encara no ha pogut complir el seu somni Jo o sí o sí amb uns o amb els altres d'una manera o una altra jo viatjaré a l'espai a un futur pròxim De fet per si aquesta opció no és bé Anna ja té un pla B Estem treballant amb Space Perspective
2430,"Estem treballant amb Space Perspective. És una experiència que dura sis hores aproximadament; a la càpsula són vuit persones i un pilot. Com anècdota, tenim un 'spa toilette', o sigui que, en qualsevol moment, amb unes vistes espectaculars... ""Quant costa fer una volteta per fora del planeta?"" Són 125.000 dòlars. ""Tot i ser una morterada de diners,",amb Space Perspective És una experiència que dura 6 hores aproximadament La càpsula són 8 persones hi ha un pilot Com a anècdota tenim un spa toilet o sigui que en qualsevol moment amb unes vistes espectaculars I quant costa fer una volteta per fora del planeta? Són 125.000 dòlars Tot i ser una morterada de diners
2460,"""Tot i ser una morterada de diners, ja no són els 20 milions d'euros que va pagar en 2001 Dennis Tito, el primer turista espacial."" Abans l'espai estava reservat per a uns pocs privilegiats. Avui en dia podríem dir que s'ha democratitzat en aquest sentit. ""No hem escoltat fa res este mateix argument?"" Tenim viatges a l'abast de qualsevol butxaca. Jo crec que és la gran conquesta del segle XX, la democratització dels viatges.",de diners ja no són els 20 milions d'euros que va pagar en 2001 Denis Kito el primer turista espacial Abans l'espai estava reservat per uns pocs privilegiats avui dia podríem dir que s'ha democratitzat en aquest sentit no? No hem escoltat per res este mateix argument? Tenim viatges a l'abast de qualsevol butxaca no? Per tant és un gran èxit jo crec que és la gran conquista del segle XX és la democratització dels viatges
2490,"""Vol dir això que l'espai pot acabar igual de massificat en un futur?"" No crec que sigui una massificació, això. Crec que és una evolució i tant de bo hi hagi un respecte perquè sigui d'una manera gradual. ""¿Quines conseqüències per al medi ambient tenen estos turistes exploradors?"" No hi ha cap entrevista en què no surti la paraula ""sostenibilitat"".",que no surti la paraula sostenibilitat
2520,"en què no surti la paraula ""sostenibilitat"". ""L'impacte del turisme sobre l'ecosistema àrtic ha quedat evidenciat per un grup de científics en trobar restes de protector solar al pol nord. Doncs precisament a l'Àrtic arribarà en dirigible l'expedició que està organitzant l'Agència Bru And Bru."" La primera expedició serà en el 2025-2026. ""El cost per al planeta en el futur no el podem saber encara,",sostenibilitat l'impacte del turisme sobre l'ecosistema àrtic ha quedat evidenciat per un grup de científics en trobar restes de protector solar al pol nord doncs precisament a l'àrtic arribarà indirigible l'expedició que està organitzant l'agència Brew & Brew La primera expedició serà en el 2025-26 El cost per al planeta en el futur no el podem saber
2550,"""El cost per al planeta en el futur no el podem saber encara, però sí el preu que pagarà la clientela."" Uns 200.000 euros la cabina doble per a dos persones. ""Acabarà eixint-nos massa car este tipus de turisme tan exclusiu?"" Quan un va a un restaurant i diu: ""Que bé he menjat!"", no penses en quant has pagat de factura. ""La saturació turística no és un problema exclusiu en absolut",no el podem saber encara però sí el preu que pagarà la clientela Uns 200.000 euros la cabina doble per dues persones Acabarà i si no es massa car este tipus de turisme tan exclusiu Quan un va a un restaurant i dius que ben menjat no penses què has pagat de factura La saturació turística no és un problema exclusiu
2580,"""La saturació turística no és un problema exclusiu en absolut ni de la Comunitat Valenciana ni d'Espanya. Pot ser interessant saber com l'afronten en altres països. Encara que semble una paradoxa, farem junts una volta al món ràpida per a saber com es regula el turisme massiu per a minimitzar l'impacte mediambiental i social. Primera escala, Àustria. Com ho fan allà?"" Per a obrir un hotel, tot el barri hi ha d'estar d'acord,",exclusiu en absolut ni de la comunitat valenciana ni d'Espanya Per això pot ser interessant saber com l'afronten en altres països I encara que sembla una paradoxa farem junts una volta al món ràpida per a saber com es regula el turisme massiu per a minimitzar l'impacte mediambiental i social Primera escala A Ústria Com ho fan allà? Per obrir un hotel tot el barri ha d'estar d'acord
2610,"Per a obrir un hotel, tot el barri hi ha d'estar d'acord, perquè això suposa un impacte. ""Segona escala, els Països Baixos."" Amsterdam, a més de limitar els grans creuers, ja no es poden construir més hotels a la ciutat. ""Tercera, Grècia."" Atenes és una les ciutats més turístiques del món i ara mateix han regulat les entrades del Partenó.",ha d'estar d'acord perquè en aquest lloc s'obrigui un hotel perquè aquest hotel suposa un impacte Segona escala els països baixos Amsterdam a més de limitar els grans creuers el que ha fet és ja no es poden construir més hotels a la ciutat Buscarem un lugar para amar y soñar Tercera Grècia Atenes és una de les ciutats més turístiques del món i el que han fet és ara mateix han regulat les entrades del Partenon
2640,"i ara mateix han regulat les entrades del Partenó. ""Quarta, Croàcia."" Es va fer especialment famosa després de la sèrie 'Joc de trons', perquè es va rodar allí. Tot el món vol la fotografia de la sèrie. Clar, han hagut de prendre mesures. ""Quinta, Itàlia."" Com a norma general, s'estan pujant les taxes turístiques. Florència és una les ciutats més turístiques del món","del Partenon Quarta Croàcia Però va ser especialment famós després de la sèrie Joc de Trons perquè es va rodar allí Tot el món vol la fotografia de la sèrie Joc de Trons Clar, han hagut de prendre mesures Quinta Itàlia Com a norma general el que s'està fent és pujar les tasses turístiques Florencia"
2670,"Florència és una les ciutats més turístiques del món i ha prohibit els pisos turístics al centre de la ciutat, perquè la gent local ja no pot pagar els lloguers. ""L'última escala la fem al Japó. ¿Com porten allà haver passat de 3 a 25 milions de turistes en només un any?"" Han hagut de prendre moltes mesures. Hi ha inclús restaurants on la carta està en japonés i en anglés. En japonés han escrit una frase: ""Si eres japonés, tindràs un 5% de descompte en el menú"".",Florencia és una de les ciutats més turístiques del món i el que ha fet és ha prohibit els pisos turístics al centre de la ciutat perquè la gent local ja no pot pagar els lloguers I l'última escala la fem al Japó Com porten allà haver passat de 3 a 25 milions de turistes en només un any Han hagut de prendre moltes mesures Hi ha inclús restaurants que la carta està en japonès i en anglès En japonès han escrit una frase que és Si eres japonès
2700,"""Si eres japonés, tindràs un 5% de descompte en el menú"". ""A més, han limitat l'accés al conegut com a barri de les geishes de Tòquio."" Han prohibit l'entrada a tota persona que no treballe o visca allí, perquè la gent, per a fer una fotografia, assetjaven les 'geishes', anaven perseguir-les. ""¿Com de fart devia estar el veïnat d'este poble japonés per a tapar les vistes al mont Fuji amb una tanca? Suposem que més o menys igual que les d'este poble austríac",Si eres japonès tindràs un 5% de descompte en el menú I a més han limitat l'accés al conegut com a barri de les geisses de Tòquio Els carrerons han prohibit l'entrada de tota persona que no treballi o visca allí perquè el que feia la gent era per treure una fotografia assetjaven a les geisses anaven perseguint-les Com de fart estaria el veïnat d'este poble japonès per a tapar les vistes al món Fuji amb una tanca Doncs suposem que més o menys
2730,"Suposem que més o menys igual que les d'este poble austríac que va inspirar 'Frozen'."" Van intentar posar uns panells perquè no es feren fotografies, però van vore que això... ""No funcionaria? O funcionaria massa? ¿Vosaltres visitaríeu destinacions on no poguéreu fer-vos fotos?"" Sí. Si tu no puedes hacer lo que ves en redes sociales o por lo que vas, la gente no lo va a visitar. Hoy en día se hace mucho turismo de Instagram.",que més o menys igual que els d'este poble austríac que va inspirar la pel·lícula de Frozen van intentar van intentar posar els panells perquè no es feren fotografies però després van veure que això no funcionaria o funcionaria massa
2760,"En las cuevas de Sant Josep, hace unos años estaba prohibido grabar. Ahora, en un trayecto de la visita, te dan cinco minutos para que hagas un vídeo, una foto. Todos contentos. ""Òbviament, no tots; però sí quasi la meitat."" Una companyia d'assegurances del Regne Unit va fer una enquesta i el 40% les persones triava la destinació per Instagram i per si era 'instagramejable' o no. -Como el columpio de Orpesa, lo han sacado del agua, ya la foto no es tan bonita",Òbviament no tots
2790,"lo han sacado del agua, ya la foto no es tan bonita y ya no hay fila para hacerse fotos. ""El creador de continguts es referix a esta engrunsadora, la primera engrunsadora aquàtica d'Espanya,  que l'Ajuntament d'Orpesa hi va instal·lar en 2021."" En su momento la adquisición fueron unos 10.000 euros, pero el retorno en publicidad y promoción es brutal. Eso fue una locura, se llegaron a hacer colas superlargas. -Venían personas de Bélgica, de Holanda,",i va a instalar en 2021
2820,"-Venían personas de Bélgica, de Holanda, que venían a veranear a Torrevieja y un día de sus vacaciones lo utilizaron en venir a Orpesa hacerse la foto y luego se volvían a su casa. Es increíble. ""Guille també hi va anar a posta; això sí, promptet, per a evitar cues."" Fui supertemprano. Me fui un amanecer, estuve toda la mañana en Orpesa y ya volví. Y luego lo saqué y fue un 'boom', también. ""Al final, al ver el impacto que había tenido,",per a evitar cubes
2850,"que todos los municipios también querían su columpio, nos requirieron para quitarlo bajo multa de 800 euros diarios. ""L'engrunsadora continua a la localitat, però ja no dins de l'aigua, sinó a l'arena."" En la arena ya no es lo mismo. -No es lo mismo. ""Clar, la gent no només s'hi fa la foto, també la compartix en les xarxes socials."" Si vas a un lloc i no tens la foto, és com si no hi hagueres anat. -Si quiero ir y tener ese recuerdo, no le hago nada malo a nadie.",no és el mateix
2910,"un destino te puede pagar por promocionarlo entre 3.000 y 10.000 o 15.000 euros. Hay muchísimo dinero en las redes. ""Deu ser perquè funciona, no?"" Sí funciona. Sí funciona. Yo he tenido vídeos con millones de visualizaciones que es imposible que no tengan un efecto positivo. -El problema és quan geolocalitzen llocs que són molt xicotets. I un lloc era molt desconegut, al dia següent, 10.000 persones diàriament. Todo el mundo quiere hacerse la foto en ese sitio",un efecte positiu El problema és quan es geolocalitzen llocs que realment són molt xicotets i clar un lloc que era molt desconegut el dia següent 10.000 persones diàriament a la comunitat valenciana
2940,"Todo el mundo quiere hacerse la foto en ese sitio en el que la 'influencer' de turno ha subido una foto. ""A la Comunitat Valenciana hi ha molts punts atractius per als 'influencers' i no tan 'influencers': la Muralla Roja de Calp, l'embarcador de l'Albufera o la porta blava de la cala del Portitxol de Xàbia. Vosaltres també vos heu fet alguna foto allí?"" ¿Cómo vas a venir y no te la vas a hacer? Es un 'must have'. -Es supernecesario aquí. No cal ser tan borregos i anar sempre a la rodeta.","a la comunitat valenciana hi ha molts punts atractius per als influencers i no tan influencers la muralla roja de Cal l'embarcador de l'albufera o la típica porta blava de la cala del portichol de Xàbia ¿vosaltres també vos heu fet alguna foto allí? ¿Cómo vas a venir? ¿Te la vas a hacer? Vamos, és un mashup como es que dice es supernecesario aquí No cal ser tan borregos"
2970,"No cal ser tan borregos i anar sempre a la rodeta. Es una máquina hacer fotos. Cada minuto hay una persona, y hacen cola, sí. -Ui! De nit i tot hi ha cua! Amb la llumeta es fan la foto, des d'ací ho veig. -És que alguna volta agarraria un esprai, col·lega, i en la porteta blaveta... Li diria a algú: ""Puc fer una pintadeta guapa ahí? Tio, pareix un 'photocall'. -Gente que viene de muy lejos para hacerse la foto, estar un rato e irse. -De un pueblito de Zamora.","No cal ser tan borregos no sempre hi ha la rodeta ¿sabes? Eso es una máquina de hacer fotos cada minuto hay una persona ahí hacen cola sí, sí, sí, sí hacen cola Uy, de nit y todo ya cola en la llumeta se hacen la foto yo de si lo veig Niño deja ya tanto el postureo Es que alguna volta quedaría un spray colega y la porteta blaveta parlaría y le diría ¿puc fer una pintaeta guapa allí? Porque es que, tío parece un fotocoll de... no sé Hay gente que viene de muy lejos para hacerse la foto y luego quizás estar un rato y luego irse De un pueblito pequeño de Zamora"
3000,"estar un rato e irse. -De un pueblito de Zamora. Vivo en Jerez de la Frontera. -De Ciudad Real. -Porque me encanta posturear, la verdad sea dicha. Y no sé, subo fotos de los sitios en los que he estado. Pero i això? Que envies? Hi ha una família, hi ha una cultura, una historia. Un tio meu la va comprar i veníem tots ací. Veníem pel caminet de la creu, caminant, amb el pollastre viu,","de Zamora Vivo en la zona de Cádiz en Jerez de la frontera De Ciudad Real Porque me encanta posturear la verdad se ha dicho y pues no sé que subo fotos entre los sitios en los que he estado de la frontera y luego irse a la frontera No, n'hi ha vides, n'hi ha una família, n'hi ha una cultura, n'hi ha una història. Niño, deja ya tanto el postureo. Un tio meu la va comprar i veníem tots així. Veníem pel caminet de la Creu, caminant, en el pollastre viu,"
3030,"i el posàvem ahí al corralet per a fer paella. Després, el peix. Venien els pescadors amb les xàrcies al coll, i treien el peix ahí. Quan algú està menjant-se una paella en la seua caseta o en la barraca i li tanquen la porta per a fer-se la foto de torn... Em pareix ridícula i absurda la falta de respecte absoluta. ""Ja hem vist les conseqüències econòmiques i socials","Veníem pel caminet de la Creu, caminant, en el pollastre viu, i el posàvem ahir al corralet per a fer paella. Després el peig, venien escudines, peigcaors, les àcies al coll i treien el peig ahir. La porta del cel. Al costat de mirar-nos una paella a la seva carreta a la barraca, li tanquen la porta per a fer-te la foto de turno, saps? Em pareix ridícul i absurd la falta de respecte absoluta. Ja hem vist les conseqüències econòmiques i socials que té la massificació turística."
3060,"""Ja hem vist les conseqüències econòmiques i socials que té la massificació turística. Quines en té sobre el patrimoni arquitectònic? ¿Quin efecte pot tindre sobre els monuments més emblemàtics de València, per exemple, que un gran nombre de persones els visiten al mateix temps? Eixa és una de les preguntes que es plantejaren estes dos investigadores de la Universitat Politècnica de València. El primer pas per a contestar-la era saber exactament","Ja hem vist les conseqüències econòmiques i socials que té la massificació turística. I quina se'n té sobre el patrimoni arquitectònic? Quin efecte pot tindre sobre els monuments més emblemàtics de València, per exemple, que un gran nombre de persones els visiten al mateix temps? Doncs eixa és una de les preguntes que es plantejaren estes dos investigadores de la Universitat Politècnica de València. I el primer pas per a poder contestar-la era saber exactament el nombre de persones."
3090,"El primer pas per a contestar-la era saber exactament el nombre de persones."" Es deia sempre: ""Hi ha molta gent en el centre històric de València"", però no en sabíem quants, quins dies, a quines hores; i ara en tenim dades precises. ""Com? Gràcies a la tecnologia."" Estes càmeres estan enviant informació cada deu segons de tota la gent que està passant. ""Endevineu quin dia va passar més gent per este carrer?","I el primer pas per a poder contestar-la era saber exactament el nombre de persones. Se deia sempre, n'hi ha molta gent en el Centre Històric de València, però no sabíem quants, què dies, a quines hores, i ara no tenim dades precises. Com? Gràcies a la tecnologia. Estes càmeres estan enviant informació cada 10 segons de tota la gent que està passant. Endevineu quin dia va passar més gent per a este carrer?"
3120,"""Endevineu quin dia va passar més gent per este carrer? Correcte."" El dia de Sant Josep, enguany, hi circularen 215.000 persones. ""D'acord, ja tenim el número. I què? Com més en són, més poden perjudicar el patrimoni?"" Cuando respiramos, estamos saltando CO2, estamos aumentando la temperatura. Estos factores pueden repercutir sobre los materiales que conforman el patrimonio,","Endevineu quin dia va passar més gent per a este carrer? Correcte! El dia de Sant Josep, este any, circularen 215.000 persones. D'acord, ja tenim el numeret. I què? Com més en són, més poden perjudicar el patrimoni. Cuando respiramos, pues estamos soltando CO2, estamos aumentando la temperatura. Estos factores pueden repercutir sobre los materiales que conforman el patrimonio,"
3150,"sobre los materiales que conforman el patrimonio, tanto sobre materiales textiles, madera, piedra... Y sí, efectivamente, podría llegar a repercutir en la conservación. ""¿El turisme de masses està perjudicant este patrimoni material valencià?"" A ver, en estos momentos no está teniendo ningún peligro. Sí puede llegar a tenerlo. -Nosaltres som, junt a França i Itàlia, els països que més turisme rebem del món,","Estos factores pueden repercutir sobre los materiales que conforman el patrimonio, tanto sobre materiales textiles, madera, sobre la piedra... Y sí, efectivamente, podría llegar a repercutir en la conservación. El turisme de masses està perjudicant este patrimoni material valencià? A ver, en estos momentos no está teniendo ningún peligro. Sí puede llegar a tenerlo. Nosotros somos, Junta França y Junta Itália,"
3180,"junt a França i Itàlia, els països que més turisme rebem del món, i això és perquè tenim patrimoni. -La catedral de València té un valor immens des del punt de vista material, però també des del punt de vista religiós, històric, artístic... El patrimoni de la catedral és d'un valor incalculable. I hem de garantir que el nostre patrimoni serà conservat per a sempre en les millors condicions.","Nosotros somos, Junta França y Junta Itália, los países que más turismo estamos recibiendo del mundo. Y eso es porque tenemos patrimonio. La Catedral de Valencia tiene un valor inmens. desde el punto de vista material, pero también desde el punto de vista religioso, histórico, artístico. El patrimoni de la Catedral es un valor incalculable. Y tenemos que garantir que el nuestro patrimonio será conservado para siempre en las mejores condiciones. Si els turistes poden arribar a posar en perill tot això només per estar i respirar allà,"
3210,"""Si els turistes poden arribar a posar en perill tot això només per estar i respirar allà, ¿com de greus poden ser les conseqüències si el seu comportament dista molt de ser exemplar? Clara ens en dona un exemple."" Santorini té unes esglésies molt guapetes, de cúpules blaves. El problema és que s'han fet moltes fotos dalt de les cúpules i del sostre de les esglésies. És patrimoni. Si hi puja una persona, està malament,","Si els turistes poden arribar a posar en perill tot això només per estar i respirar allà, com de greus poden ser les conseqüències si el seu comportament dista molt de ser exemplar? Clara ens en dona un exemple. Sant Torini té unes esglésies molt guapetes de cúpules blaves. Clar, el problema és que s'han fet moltes fotos en eixes cúpules, dalt de les cúpules i dalt del sostre de les esglésies. Clar, estem parlant de patrimoni. A lo mejor puja una persona, està mal, però és una persona."
3240,"Si hi puja una persona, està malament, però si 5.000 persones pugen dalt del sostre d'una església, què pot passar? Pot acabar caient. ""Per tal d'evitar estos i altres riscos, a Santorini s'estan plantejant limitar els creuers que arriben a l'illa."" Perquè la gent es faça una idea de com és Santorini, és com si al port d'Oliva... De fet, és més menut que Oliva. Com si al port d'Oliva atracara un creuer de 5.000 persones,","A lo mejor puja una persona, està mal, però és una persona. Si 5.000 persones pugen dalt del sostre d'una església, què pot passar? Pot acabar caiguent. Per tal d'evitar estos i altres riscos, a Sant Torini s'estan plantejant limitar els greuers que arriben a l'illa. Per a que la gent es faci una idea de com és Sant Torini, és com si tu al port d'Oliva, de fet Sant Torini és més menú que Oliva, però si al port d'Oliva atracarà un vaixell un greuer de 5.000 persones,"
3270,"Com si al port d'Oliva atracara un creuer de 5.000 persones, i eixes persones baixaren a Oliva i hi estigueren tres hores. Això satura molt. Les últimes notícies eren que l'Ajuntament deia a la gent local que no eixira de casa. Això és inassumible per cap territori. L'exemple més clar i desgraciat el tenim a Venècia. ""Venècia, Amsterdam, Florida, Califòrnia i Alaska ja han posat límits al turisme de creuers. València ho farà en 2026,","però si al port d'Oliva atracarà un vaixell un greuer de 5.000 persones, i aquestes 5.000 persones baixaran a la població d'Oliva i estiguessin 3 hores, clar, això s'atura molt, de fet, les últimes notícies eren que l'Ajuntament li dia a la gent local que no hi xira de les cases, perquè no podien ni xirar el carrer. Això és inassumible per a ningú de territori. L'exemple més clar i desgraciat el tenim en Venècia. Venècia, Amsterdam, Florida, Califòrnia i Alaska ja han posat límits al turisme de greuers. València ho farà en 2026,"
3300,"València ho farà en 2026, quan els megacreuers hi tindran prohibida l'entrada."" Los cruceros más reducidos de otro tipo de perfil, y que, evidentemente, generan una riqueza en la ciudad, se mantendrán. Pero en el 2026 los megacruceros, las ciudades flotantes, dejarán de venir a València. ""En canvi, l'alcalde d'Alacant ja va anunciar que estarà encantat de rebre tots els creuers.""","València ho farà en 2026, quan els megacreuers hi tindran prohibida l'entrada. Els cruceros més reducits, de altre tipus de perfil, i que evidentment generen una riqueza en la ciutat, se mantindran. Però en el any 2026, els megacruceros, les ciutades flotantes, deixaran de venir a València. En canvi, l'alcalde d'Alacant ja va anunciar que estarà encantat. de rebre tots els greuers."
3330,"de rebre tots els creuers."" No m'agrada cap de les dos posicions. Em pareixen poc intel·ligents. El poder limitar cruceros, hacerlos más elitistas, nos lleva a posiciones clasistas de excluir de estas experiencias a una gran parte de la sociedad. -Crec que no és qüestió de creuers sí o no; és qüestió de tindre criteri, saber quins creuers, quan i com. No hi ha un model turístic que servix per a tots per igual, sinó que cada territori respon a una realitat distinta,","de rebre tots els greuers. No m'agraden ningú de les dues posicions, ni de València ni d'Alacant. Em pareix poc intel·ligent per part dels dos. El poder limitar cruceros a fer-los més elitistes ens porten a unes posicions classistes d'excluir d'aquest tipus d'experiències a una gran part de la nostra societat. Jo crec que no és una qüestió de creuers sí o creus no, és qüestió de tindre criteri de saber quins creuers, en quin moment i de quina manera. No n'hi ha un model turístic que serveix a tots per igual, sinó que cada territori"
3360,"sinó que cada territori respon a una realitat distinta, i el que funciona en una destinació no funciona en una altra. ""Quan acabe l'any, València haurà rebut més de 800.000 creueristes, més que habitants té la ciutat; mentre que Alacant, amb una població de més de 330.000 persones, n'haurà acollit..."" Este año calculamos que superarán los 230.000 0 240.000 cruceristas. Últimamente nos ha tocado techo, hay mucho recorrido por hacer.","sinó que cada territori respon a una realitat distinta i el que funciona en una destinació no funciona en una altra. Quan acabi l'any, València haurà rebut més de 800.000 cregueristes, més que habitants de la ciutat. Mentre que Alacant, amb una població de més de 330.000 persones, n'haurà acollit."
3390,"Últimamente nos ha tocado techo, hay mucho recorrido por hacer. A alguns creueristes només passen unes hores a cada port. ¿A les ciutats els compensa el desembarcament de més de 5.000 persones en un únic dia? El turismo de cruceros, en el año 2023, superó los 45 millones de euros, y preveemos que para este año será de 60 millones de euros. -Es un Potosí, es una maravilla.","Alguns cregueristes només passen unes hores a cada port. A les ciutats, els compensa el desembarcament de més de 5.000 persones en un únic dia? El 2023 ha superat els 45.000.000 d'euros i preveiem que per aquest any serà de 60.000.000 d'euros. És un pot, sí. És una maravilla."
3420,"Els creueristes no es gasten diners. Han d'estar, en set dies, en set ciutats, i baixen, agarren l'imant que toca per al familiar i poquet més. -El gasto directo de un crucerista fue de 74 euros el año pasado. Deixen molts diners ací a la tenda els creueristes? Sí que deixen diners, 60, 100 euros més o menys. -Entre 50 y 100 euros por venta. El más común, o el básico, son 25 o 30 euros,","Els cregueristes no se gasten diners. És gent que en sèdies ha de ser ciutats i baixen, agarren l'imant que toca pel familiar de turno i poc més. El gasto directe d'un crucerista va ser de 74 euros l'any passat. Deixen molts diners a la tenda, els cregueristes. Sí que dicen diners, sí. Si santa, 100 euros, més o menys. Entre 50 y 100 euros por venta, sí. El más común o el básico"
3450,"El más común, o el básico, son 25 o 30 euros, que es la caja de galletas que se lleva todo el mundo Los bares están llenos, las terrazas están llenas. Pides mesa y no hay. Yo he estado trabajando en bares cerca del centro y ha venido algún crucero. Esperamos tener un montón de reservas. No. Venían, se tomaban una cerveza, compraban un 'souvenir' y se iban. Vienen con un todo incluido. -Yo prefiero que vengan,","El más común o el básico son 25-30 euros, que es la caja de galletas que lleva todo el mundo. Los bares están llenos. Las terrazas están llenas. Va a pedir mesa y no hay. Yo he estado trabajando en bares cerca del centro y han venido algún crucero. Esperábamos, como, ¿vamos a tener un montón de reservas? No. Venían, se tomaban una cerveza, compraban un souvenir y se iban, daban una vuelta y cuatro fotos. Vienen con un todo incluido. Yo prefiero que vengan"
3480,"Vienen con un todo incluido. -Yo prefiero que vengan, porque si no vienen, no hacemos nada. Quants diners té pensat gastar-se ací a la ciutat? ""Més o menys, els comerciants poden beneficiar-se de tindre tants clients potencials als voltants, però i el veïnat?","Yo prefiero que vengan a que no vengan, porque si no vienen, lo hacemos en lava. Quants diners t'he pensat gastar-se així a la ciutat? Penso 100 euros, por supuesto. 500 euros. En esta hora al menos 60 euros. Os peso 20 euros. Més o menys, els comerciants poden beneficiar-se de tindre tants clients potencials als voltants. Però, i el veïnat? ¿Quién profit ha entrado?"
3510,"de tindre tants clients potencials als voltants, però i el veïnat? Quin profit en trau?"" Para venir al Mercado Central, tengo que venir a las 8:30 h, porque después de las 10:30 h no se puede pasar con el carro por ningún sitio. Son turistas que, como mucho, se toman un zumo, que vale un euro. Si preguntas a los cruceristas ""¿considera Alicante saturada?"", el 94% dice que no.",¿Quién profit ha entrado? Para venir al mercado central tengo que venir a las 8 y media de la mañana porque después de las 10 y media no se puede pasar con el carro por ningún sitio. El problema es que son turistas que como mucho se toman un zumo que vale un euro. Si le preguntan a los cruceristas considera usted alicante saturado y el 94% de los cruceristas nos han dicho que no.
3540,"el 94% dice que no. -Mucha masificación, demasiada. Sobre todo en los últimos seis meses. Es horrible, a veces, atravessar una calle. Tienes que ir haciendo así para que se aparten. Es un problema de una palabra que nosotros creemos que es la palabra màgica, que es la gestión. Los domingos bajo andar y por aquí no se puede ir, porque hay una masa de gente que digo: ""Pero Dios mío"". -Tú no puedes asumir de golpe y porrazo que te atraquen",que no. Mucha masificación. Demasiada. Demasiada. Sobre todo en los últimos 6 meses es horrible a veces. Atravesar una calle es ir haciendo así para que se parten. Al final es un problema de una palabra que nosotros creemos que es la palabra mágica que es la gestión. Yo los domingos bajo a andar y aquí por aquí no se puede ir porque hay una masa de gente que digo pero Dios mío. Tú no puedes asumir de golpe y por razón que te atraquen tres barcos
3570,"-Tú no puedes asumir de golpe y porrazo que te atraquen tres barcos y bajen 9.000 personas, ni València ni Alicante. Lo importante es regular, ordenar y establecer las capacidades de carga para que pueda haber convivencia pacífica entre residentes, ciudadanos y turistas. ""Bolinches proposa, a més, una compensació per les molèsties, una taxa per creuerista.""","tres barcos y bajen 9.000 personas. Ni Valencia ni Alicante. Lo importante es regular, ordenar y establecer las capacidades de carga para que se pueda hacer esa convivencia pacífica entre residentes, ciudadanos y turistas. Bolinches proposa a Més una compensación per les molesties, una taxa per creguerista. ¿Tú sabes lo que puede hacer el Ayuntamiento de Valencia con 80 euros"
